text|label
290 Czego pamięć dotychczas między ludźmi słynie.|mickiewicz
    Wtem pierwszy, z wielką rzeszą mężów, zapalony|wergiliusz
Nad niebian się podniesie cnotą i nad ludzi —|wergiliusz
Przypadł mu — górą włócznia przeniesie wichrowa;|wergiliusz
Od haniebnej posługi, w mrok ślepy się chowa.|wergiliusz
Ten strzela, ten nabija, ten chwyta do ręki,|mickiewicz
Niestała wszędy wierność! Rozbitka, pielgrzyma|wergiliusz
Pierzchną druhy i w nocnej znikną zawierusze;|wergiliusz
On w śnieżnym chramie Feba siedząc, wybór czyni|wergiliusz
Raz prze ku brzegom, falą skał groźnych urwiska|wergiliusz
Jemu dziwny lęk z nagła obezwładni ciało,|wergiliusz
Rzucamy port: ląd pierzcha i znanych miast wieże.|wergiliusz
Pierwszy Askań, gdy Alby zakładał warownie,|wergiliusz
Nie dopuszcza; głos w szumie się rozwiał wichury.|wergiliusz
Podpory złote łożnic, uczty przed ich twarzą|wergiliusz
Twarz bladą w dziwny sposób podnosząc boleśnie,|wergiliusz
110 Kto tchórz, niech w bernardyńskim chowa się kapturze>>. Wtem|mickiewicz
Pan głowę wstrząsnął, rękę ku bramie wyciągnął|mickiewicz
W takim Litwinka tylko chodzić zwykła z rana,|mickiewicz
Wenus, na śmiałej nimfy czyn spojrzawszy gniewnie,|wergiliusz
610 Nie wszystko, co jest piękne, wymalować da się!|mickiewicz
W życie wszedłszy, na jakież wstąpią bojowiska,|wergiliusz
Która się stała właśnie w tej izbie, nie innej.|mickiewicz
Gdzieniegdzie zrzedniał, na wskroś grubszą płeć odsłania. Może|mickiewicz
Bezecnie, i stąd wszczęte z nagła nowe wojny|wergiliusz
Nie mogła nic przemówić, aż się jej rzuciły|mickiewicz
Wrócili oba, każdy pokłuty jak sito.|mickiewicz
Dwa kurantowe, w szafach zamknięte zegary;|mickiewicz
Skórą tą rozporządzimy wedle naszej woli;|mickiewicz
I ręką potakując, mocno się zapłonił).|mickiewicz
Gdy ujrzała Italów i zastępy Turna,|wergiliusz
Zasiadł, starszy już wiekiem. Ojca swego niwą|wergiliusz
Messap Kroniusza oraz syna Lukaona,|wergiliusz
Królowę więc ja zdradą usidlić chcę moją|wergiliusz
<<Kolego, rzekł, jeżeli ustąpisz mnie żony|mickiewicz
Najlepszego z Polaków, kto go okradł, zgrabił?|mickiewicz
Przy ojcu, co najęte orał łany cudze.|wergiliusz
Wolno ich nienawidzić i skryte knowania|wergiliusz
— «Bogini synu, jakże spać możesz bez troski?|wergiliusz
Dalej spotkać się z większym masz niebezpieczeństwem; Dalej co|mickiewicz
Już przeze drzwi włażą trzy błyszczące bagnety,|mickiewicz
W środku dla wspólnych bogów zbudują ołtarze|wergiliusz
480 Ja mam Kropidło; dalbóg! ja kropię, a ty siecz,|mickiewicz
    Tu zlękłemu sam nie wiem już jaki gniew boży|wergiliusz
We wnętrzu domu suto ścian każdy zakątek|wergiliusz
Krzyżową sztukę, młyńca, cios krzywy, raz cięty,|mickiewicz
Tyle pomnę, że byłam ubogą, sierotą,|mickiewicz
490 Zebrawszy koło siebie z pół batalijonu|mickiewicz
Biegł przebić; wtem Ksiądz dostał z rękawa krócicę:|mickiewicz
Lipa tak rozrośniona, że pod jej cieniami|mickiewicz
    Tu pierwszy raz los zmienny nabawił ich szkody|wergiliusz
Słychać krzyk w karczmie, widać w plebaniji świece;|mickiewicz
Zaryczą: podstęp Kaka od razu się wyda.|wergiliusz
Rzucamy port Ortygii, płyniemy przez morze,|wergiliusz
Prawą skronią złożone na wezgłowiu cieni|mickiewicz
Spiż belki spina, chrzęszczą podwoje ze spiżu.|wergiliusz
    Rzekł i zaraz na ziemię z wozu skoczył żwawo;|wergiliusz
Pokornymi zmiękcz śluby. Mnie później dasz chwałę,|wergiliusz
Po co krwi rozlew! między nami była zwada,|mickiewicz
Na placu boju, dostał dwadzieście trzy rany.|mickiewicz
Co za miasto! Nikt z Panów nie był w Peterburku?|mickiewicz
Przem naprzód, a mnie, co się strzał dotąd nie bałem|wergiliusz
Co za rzeka i męże tłoczący się w tłumie.|wergiliusz
Wrące wichry, świszczące rozgłośnych burz szturmy|wergiliusz
Stary Gifrejter, co był pułku instruktorem,|mickiewicz
Głową wraz i barkami. — Jak burzy huragan|wergiliusz
Te puszcz stołeczne, ludziom nie znane tajniki|mickiewicz
I teraz próżno zwodzisz! Lecz jakiż bóg, dosyć|wergiliusz
Żeglarzom pęd ciągnącej zwiastując zamieci.|wergiliusz
Już lecą głownie, głazy — podaje szał bronie;|wergiliusz
Uderzył nań, te modły zasławszy wprzód, Pallas:|wergiliusz
Przecz szalejesz? Gdzie troska o nas? Nie chcesz dociec,|wergiliusz
"Wyraz ""zdrajca"" brzmiał w uszach, odbijał się echem"|mickiewicz
Na brzegu plac wyznaczył jak na obóz, wokół|wergiliusz
<<Wara! zawołał, Sędzio! nie wolno nikomu|mickiewicz
Szalony, i prawicę zraniłem Wenerze.|wergiliusz
<<Kniaziu, rzekł Żagiel, świeć Waść baki lada komu,|mickiewicz
Sto węży społem z Hydrą, w węże oplecioną.|wergiliusz
Strojni w białe fartuchy i wieńce nad czołem.|wergiliusz
Za każdą głowę tysiąc rubelków gotówką.|mickiewicz
I srebrne nakolanka na nogi swe bierze.|wergiliusz
Bylem dobił do lądu!|wergiliusz
By mu zdradnie wydartą chwałę przywrócono.|wergiliusz
Darmo gęga o pomoc; zamiast Manlijusza|mickiewicz
650 Wszystkie białe jak srebro, zmieszały się - nagle|mickiewicz
Uciekają w bór, w skalne jaskinie ukradkiem|wergiliusz
Mojego rodu. Z Frygii dwadzieścia jam łodzi|wergiliusz
Idajskiego Jowisza wraz z fryską Macierzą,|wergiliusz
Jak toczą się libijskich fal liczne bałwany,|wergiliusz
I na głowie mu na krzyż położywszy dłonie,|mickiewicz
Dzień skrył się w mgle wilgotnej, niebiosa wśród cieni|wergiliusz
Królowa Dydo kazała porznąć na pasy skórę wołową i tym sposobem|mickiewicz
I ważąc grot prawicą ogromną, tak powie:|wergiliusz
Pochwał takich, i chodząc pod nos sobie dmuchał:|mickiewicz
Zrodziła ojców, chętnie ramiona rozszerzy|wergiliusz
A tak silne, że tkankę przebiją pajęczą,|mickiewicz
<<Biłem się za kraj; gdzie? jak? zmilczę; nie dla chwały|mickiewicz
Takim igrzyskiem ojca wielbili Teukrowie.|wergiliusz
Wrogimi strzały razi go łowców czereda;|wergiliusz
Klin tworząc, zwartym szykiem pod mury młódź chwacka|wergiliusz
Gdy błysnął ranek miły, wnet w drogę wyruszy:|wergiliusz
Skoro tylko wśród mrocznych rozpoznał ją kwater,|wergiliusz
Sławni dowódcy owi naszych legijonów,|mickiewicz
Bierze, teraz mi ranę głęboką zadano!|wergiliusz
Bez przerwy i wytchnienia. Jak nad turnią nagą|wergiliusz
Krew trysnęła, w tył szyja mu zwisła omdlała:|wergiliusz
Czy Hrabia z całym dworem wyjechał na łowy?|mickiewicz
Powiedz, niech przyjaźń zawrą i czynią przymierze!|wergiliusz
W polskich strojach; jakoby aktory na scenie,|mickiewicz
Ściąga w górę — i siekąc powietrze, w bój śpieszy|wergiliusz
Zabawiała kabałą z kart Podkomorzynę.|mickiewicz
I tak znów Andromachę ziomkowi oddano.|wergiliusz
Tam się człowiek napije, nadysze Ojczyzny!|mickiewicz
Potem śmiać się zaczęli, w końcu rozmawiali|mickiewicz
Po trzykroć toczył konia wokół i dziryty|wergiliusz
Długim warkoczem wiążą niebiosa do ziemi,|mickiewicz
    Na to wróżka amfryska: «Napaści znienacka|wergiliusz
670 Tadeusz odpowiadał śmielej, szła rzecz dal‚j,|mickiewicz
Lecz jenerał Kniaziewicz, wzrostem najsłuszniejszy,|mickiewicz
Tak rozmyślając, smutnie pochylili głowy.|mickiewicz
Stawała przed oczyma; i tak z łaski Boga|mickiewicz
Głośny był od tej puszczy do poleskich lasów.|mickiewicz
Biegał po różnych stronach ducha ludzi badać,|mickiewicz
Taka była zawziętość w tym maleńkim lichu.|mickiewicz
My świątyń szczyty w mieście, nędzni, na najłzawsze|wergiliusz
Tylko to się nie zdało panu Buchmanowi:|mickiewicz
Dziś Albą zwą je, wtedy tam stajnie miał Latyn.|wergiliusz
Powstał i całą prawą rękę wzdłuż wyciągnął|mickiewicz
720 Widząc dwóch ludzi w progu broniących odwrotu,|mickiewicz
Zjadamy nawet» — Julus zakrzyknie wesoły,|wergiliusz
    Szli w ciszy, noc ich wiodła mgłami zasępiona|wergiliusz
Łączą się w Soplicowie: dostatek i sztuka.|mickiewicz
Cierpi: nieobecnego ogląda i słyszy;|wergiliusz
Gadano: już w Koronie, już Prusaka pobił,|mickiewicz
I zasklepiły gęsto gniazdami jaskółki.|mickiewicz
Niech wojny cię nie trwożą: gnębiący cię srodze|wergiliusz
Brała również przydomki, zwane imioniska.|mickiewicz
110 Gdy odśpiewają ulubione zwrotki|mickiewicz
Rozbitą, Trojan nieba zmiażdżonych ruiną;|wergiliusz
Szczekaniem strzeże, leżąc z przeciwka w jaskini.|wergiliusz
Potem lewicę za pas zatknął i tak prawił,|mickiewicz
Wśród nadziei i lęku niepewni, czy zdrowie|wergiliusz
Co nam do Lachów? Niechaj Moskwa dla Moskala,|mickiewicz
Enejowi go, kiedy floty potrzebował,|wergiliusz
Jaśniejsze niebo pola tu światłem zaściela|wergiliusz
Libijskie wzdęła nurty z nagła, morze całe|wergiliusz
Za trzecim razem zwarły się w bojowym szale|wergiliusz
Zwanych babkami, których poczwórne skrzydełka,|mickiewicz
Z Soplicami, Mopanku?>> - To mówiąc wykrzywił|mickiewicz
Bo tłumy Teukrów widzi, gdy naprzód się zagna,|wergiliusz
Nawiedzić; wiatrem z tyłu ułatwiona jazda.|wergiliusz
Pokazał się na lewo cień biały i długi,|mickiewicz
Myśliłem, że dziś z nami nie będziesz przy stole>>.|mickiewicz
Dała nam i wśród nurtów dozwala pozostać.|wergiliusz
Poniosła ją, gdy raźnie młódź Laomedonta,|wergiliusz
Bezpiecznym widzisz wszystko, flota, druhy z nami;|wergiliusz
Krzyk wzniosą: zapał w piersiach im budzi nadzieja;|wergiliusz
Trzeci raz machnął, tylko co okna nie wybił;|mickiewicz
Ilijki włos rozpuszczą, jak zwyczaj rodzimy|wergiliusz
I ja, zawadyjaka sławny w Litwie całej,|mickiewicz
<<Scyzoryk, rzecze Wojski, choć nie egzulował,|mickiewicz
Że ów zodyjakowy Smok długi i gruby,|mickiewicz
O pogrzeb druhów i choć cierpi nad ich zgonem,|wergiliusz
Tam konie rżące lecą ze skoszonej łąki;|mickiewicz
Zawrzeć śpieszy; z nim hufiec z tejże samej strony|wergiliusz
wnet pochwycił, wymierzył, wypalił,|mickiewicz
Człek niemało skorzystał! chciałbym i synowca|mickiewicz
Grzbiet groźny wznoszą w ciszy) — trzy Eurus od głębi|wergiliusz
Tyrreńców i Arkadzi z odwróconą bronią.|wergiliusz
Którą gnając przez Krety gaje, niespodzianie|wergiliusz
Przejdźcie łęg, ścieżką łatwą powiodę w te pola».|wergiliusz
Ojcze Robaku (ciszej rzekł do Bernardyna),|mickiewicz
On żywo zda się grozić; gniew widać go piecze,|wergiliusz
Nosił i w radzie znaczył, i mnie też się wiodło,|wergiliusz
490 Starzy składają radę, młódź konie kulbaczy,|mickiewicz
Krzyknęli: <<Górą Maćki, niech żyją Mazury!>>|mickiewicz
440 Nie zdołałby z innymi razem emigrować;|mickiewicz
Do Italii, gnan losem, pierwszy na brzeg zmierza|wergiliusz
Dosyć, że Zosia pierwszy raz w życiu dziś z rana|mickiewicz
Na lutni siedmiostrunnej gra pieśń na przemiany|wergiliusz
Jakby lękał się reszty mowy, głowę skłonił|mickiewicz
Dziś, błagam, niech bezpiecznie ci, którzy wytrwali,|wergiliusz
Sam Anchiz, myśl młodziana skrzepić pragnąc szczerze,|wergiliusz
    Niemniej i z drugiej strony, wśród Latynów, wrzała|wergiliusz
Cóż by to o tym starzy mówili myśliwi,|mickiewicz
Jaki lud w nich (bo pustkę widzi) i zwierzęta,|wergiliusz
Podnosił się, drżał chwilę, aż się uspokoił,|mickiewicz
Wszakże kto gości prosi w zamek na wieczerzę,|mickiewicz
Ale Wojskiego powieść przerwali kucharze|mickiewicz
Żołnierzem salentyński łan bujny tam zbroi|wergiliusz
Przysmaków wziętych matce.|wergiliusz
Lud wrogi mi po głębi tyrreńskich wód płynie.|wergiliusz
Nie zgadnąć; lecz ból twardy, jaki w sercu wzrasta|wergiliusz
340 Ażeby się chłop przed nim do ziemi nie kłaniał,|mickiewicz
Znowu od Arp etolskich Teukrzy groźną postać|wergiliusz
A przecież się uwalniał; wiedział o sposobie|mickiewicz
Daj, ojcze, niechaj hańbę mój grot nienaganny|wergiliusz
Gród spostrzega, potrójnym opasany murem.|wergiliusz
Usty przejąć! — To rzekłszy, wstępuje na stopnie,|wergiliusz
<<Gorzej było; raz w Wilnie jakiś szlachcic pjany|mickiewicz
Długiego, Ryków skoczył pod parkan ogrodu,|mickiewicz
<<Co za gwałty, rzekł Klucznik, tu nie ma napaści,|mickiewicz
Właśnie dwukonną bryką wjechał młody panek|mickiewicz
Wesprzeć druhów, porwanych w zagłady wir dziki.|wergiliusz
Zasunął wpół powieki, wciągnął w głąb pół brzucha|mickiewicz
Pomet, Kastrum Inui, Bolę razem z Korą:|wergiliusz
Ja was nauczę buntu! Ha, szlachta łajdaki,|mickiewicz
W której lat kilku dzieje chciano zamknąć w słowa|mickiewicz
Walczą jak bracia, jeden drugiego zachęca.|mickiewicz
kurtkach, w butach stryflastych, w pantalonach białych; Sługi,|mickiewicz
Za Pana; ja się zawsze zgadzam z wolą Nieba|mickiewicz
Zaś Enej, choć dolega mu rana od strzały,|wergiliusz
Wprzód zajmie brzeg i wroga wygna z ojców ziemi,|wergiliusz
I nie zdoła tak prędko przez jońskie biec fale,|wergiliusz
Uderza w dno gitary, na wylot ją wierci,|mickiewicz
Przyjaciele Doweyki skarbili stronników,|mickiewicz
Ciężko jęcząc i łzami zlewając swe lica.|wergiliusz
Ucieczką brać próbuje, trwożąc okrąg nieba|wergiliusz
Tętent kopyt usłyszał i koni parskanie.|wergiliusz
Krzyczą: 'Wiwat Soplica! pfe, Horeszki tchórze!'|mickiewicz
Tyryjców swoich w głuchej szukając pustyni. —|wergiliusz
Spod ległego rumaka wyrywa, a drugi,|wergiliusz
Odchodzące już woły; i zaraz gaj cały|wergiliusz
Pachnące kwitną lasy; z legiją Dunaju|mickiewicz
W zgonie: pamięć twej śmierci potomność zachowa,|wergiliusz
Wysłuchawszy rogowej arcydzieło sztuki,|mickiewicz
I wnet zaczęli wchodzić parami lokaje|mickiewicz
Rozeszła się w sąsiedztwie. Postać Bernardyna|mickiewicz
Aż Ryków rzekł: <<Nosił wilk, ponieśli i wilka!>>|mickiewicz
430 Szukałeś wzroku mego, teraz go unikasz,|mickiewicz
Na grotach zawieszono brzuchate kociołki;|mickiewicz
Słowem, dawano huczne nad spodziw zabawy|mickiewicz
Wznawiamy Polidora pogrzeb i ze ziemi|wergiliusz
Siostrzyca Feba albo z plemienia nimf jedna!|wergiliusz
Ze wstęgami w krwi czarnej i jadzie ugrzęzły,|wergiliusz
Na ziemię zesłał? Skądże nagle tak pogodna|wergiliusz
Tarpeja, z cór italskich wybrane, dostojnie|wergiliusz
Gdzie z ołtarzy stu, kwieciem zwieńczonych dokoła,|wergiliusz
Twa wola, nierozdzielne małżeństwo ich złączy:|wergiliusz
Dziś pospólstwo litewskie z całej okolicy|mickiewicz
Z grubym karkiem, sto tłustych z matkami jagniątek,|wergiliusz
Księga VII|wergiliusz
Jakiej doli się podda, przed jaką zachowa…|wergiliusz
Oto ród ludzki dziki, w lasach rozpierzchniony,|mickiewicz
Wskazanym: łeb rumaka; tak w bojach ćwiczony|wergiliusz
Wspaniały domów sojusz - tak myślili starzy.|mickiewicz
Nie mylą mnie, Jowiszu wielki, pełne dumy|wergiliusz
Meońską mitrą spiąwszy brodę i włos gładki,|wergiliusz
Którzy mię po pjanemu chcieli w Preglu topić>>.|mickiewicz
Pogłoskami bój wniosę i w sąsiednie grody,|wergiliusz
Ogony, brzuch obwisły srogiego wilczyska.|wergiliusz
Ci proszą, aby Zosia wzniosła nieco czoło|mickiewicz
100 Bernardyńska kwestować, a moja rzecz: kropić,|mickiewicz
W cienisty gaj, gdzie troski jej wśród kniei cichej|wergiliusz
przesmyku; właśnie ogromny odyniec, rozjuszony strzałami i|mickiewicz
zaś, jedne z żelazkami w ręku|mickiewicz
    Słyszy Febus — i częścią wysłuchać chce śluby,|wergiliusz
To jak z wiader buchają warstami całemi.|mickiewicz
    Tymczasem na Jowisza rozkaz, Mezent śmiały|wergiliusz
Jeśli słuszna ma prośba, spłaćcie ich czyn srogi! —|wergiliusz
    «Spójrz, rodu dardańskiego przyszłą ci okażę|wergiliusz
Ja ciebie dotąd widzę, piękna maro senna!|mickiewicz
Nadzieję, jaką oręż etolski wam dawał,|wergiliusz
Wpadł i stanął naprzeciw z ogromnym oszczepem,|wergiliusz
I ciotce zawisnąwszy oburącz na łonie,|mickiewicz
Od stołów. Lecz przerywać uczt Pallas ochoczy,|wergiliusz
Ów, strącon, runął. Katyl, kurzawą okryty,|wergiliusz
Panienki za wysmukłym gonią borowikiem,|mickiewicz
Skłuty — i tu nareszcie znajduje śmierć błogą.|wergiliusz
Konsulów on majestat, znak siekier dostojny|wergiliusz
Żyje dotąd, i z swoich bogactw się przechwala,|mickiewicz
Afrykus — wzdęte pędzą ku brzegom bałwany.|wergiliusz
Skacze skryć się w konopiach bezpieczniej niż w chruście, Bo go|mickiewicz
Nieszczęsnej nie uchodzą śmierci, lecz u proga,|wergiliusz
Ale co dzień postrzegam, jak młódź cierpi na tem,|mickiewicz
Kładzie strzałę, naciągnie łuk mocno i stanie.|wergiliusz
Muzyka już się stroi i wzywa na tany;|mickiewicz
Biegali wszyscy za nim jakby za rarogiem.|mickiewicz
450 Kropiciel wolny, oczy obraca dokoła,|mickiewicz
Wznosząc głowę i patrząc w oczy mu nieśmiało:|mickiewicz
Gromadnych odgłos kroków, a rodzic przez cienie|wergiliusz
Do murów, kędy szyki obrońców są rzadsze|wergiliusz
440 I nie skryjesz ze wstydu pod ziemię oblicza?|mickiewicz
Położył się i późnym snem krzepił spokojnie.|wergiliusz
»Nie ma w boju zbawienia…« — Teukrom, głupcze stary,|wergiliusz
Nagotowane znajdziesz wszystko do ubrania.|mickiewicz
Jedna już tylko jest kraina taka,|mickiewicz
Przyłbicę zasię wierny przemieni z nim Alet. —|wergiliusz
Nie zmienia jej talerzów, nie nalewa szklanki,|mickiewicz
    Na wieść o tym Latynki podniosą krzyk wielki.|wergiliusz
Już dochodzą do skały, gdzie meta się ścieli,|wergiliusz
Upadał, wielki, wielką zwyciężony raną;|wergiliusz
wzniesionymi, stał jakby natchniony,|mickiewicz
Bitwa! gdzie? w której stronie? pytają młodzieńce,|mickiewicz
Dwakroć brzuch, dwakroć szyję spowiwszy morderczo|wergiliusz
Zaścielą ziemię strzały, w krąg słychać dźwięczenie|wergiliusz
Udawał przewybornie krajobraz zimowy;|mickiewicz
Otworem i dym jako z pożaru buchały,|mickiewicz
Jeden drugiemu ręką dawał znak milczenia,|mickiewicz
Żeś wśród nocy ostatniej, tnąc na wszystkie strony|wergiliusz
Teraz dopiero wyszedł; w tych wojennych czasach|mickiewicz
Srebrzysty, w kotle z wodą odbity od brzega|wergiliusz
Wciska się znowu radość; rozkaże wnet społem|wergiliusz
Że architekt był majstrem z Wilna, nie zaś Gotem.|mickiewicz
Widno, że mu frak duszy połowę odebrał,|mickiewicz
Choć mieli oszczep w ręku, tego nikt nie chwali|mickiewicz
Zdjąć zleca, przyjaznymi tak ciesząc go słowy:|wergiliusz
Jeżeli kłamię; spytaj, a oficerowie|mickiewicz
60 Ziemi pierś, co księżycem świeci posrebrzona.|mickiewicz
Ujrzą druhy, jak pada, jak miecz krwią się spienia|wergiliusz
Głowę im kryje; naga jest noga ich lewa,|wergiliusz
Dawno wszedł dzień, a jeszcze ledwie jest widomy.|mickiewicz
Suche gardło, aż na wierzch wystąpią mu oczy.|wergiliusz
O swych królach murzyńskich i o swym tygrysie.|mickiewicz
<<Ledwie dniało, już z jednej strony taradejką|mickiewicz
Dolewał, służył pilnie, ściskał za kolana,|mickiewicz
Gdy spełniła zapowiedź jędza, kiedy zlała|wergiliusz
Przy bramach ślepym bojem swe dłonie mozoli!«|wergiliusz
(Stąd Aornu nazwiskiem Grek miejsce to zowie).|wergiliusz
Ja sam, chociaż ze strzelbą włóczę się od dziecka,|mickiewicz
By Teukrów zwieść i ślubne odwłóczyć łuczywa.|wergiliusz
Dana wojny przyczyna, bój wre w tej krainie;|wergiliusz
I z zamku na dziedziniec wyszli dla ochłody.|mickiewicz
Widzi Fedrę, Prokrysę, smutną Eryfilę,|wergiliusz
Łączą z tobą i tutaj chętnego przywiodły.|wergiliusz
Kloanta niesie — odeń Kluenci ród biorą.|wergiliusz
Do kresu doszły rzeczy. Przez lądy i morze|wergiliusz
Nie śwista więcej strzała. Rwą… Za zlękłą rotą|wergiliusz
Wieczystą sławą nasze wybrzeża okryła;|wergiliusz
Nie mogę być kochankiem, będę bohaterem;|mickiewicz
Nieszczęściem, trącił krzaki suchego agrestu.|mickiewicz
Powtarzano: <<Tabaka z Polski? Częstochowa?|mickiewicz
Warunkiem intercyzy wyrzec się kontusza.|mickiewicz
Natchnienia! chwile błogie! potępiaj człowieka,|mickiewicz
Ten błąd był jedną z przyczyn naszej smutnej zwady,|mickiewicz
Brzemienna imionami rycerzy, od Nilu|mickiewicz
50 Rwania więzów, był silny bardzo, ufał sobie.|mickiewicz
    Z Tytona łoża wstając, już ziemskie krainy|wergiliusz
Ląd ucieka, z ust wyschłych szybki oddech zionie,|wergiliusz
Carewicz.|mickiewicz
tak! lecz straszną nauczona probą,|mickiewicz
Pyta wiatru, czy strzelcy jadła nie zatruli:|mickiewicz
Nietrwożącej się młodzi, Ilwa zasię trzystu,|wergiliusz
Ściska się okrąg ptastwa krzykliwy, ruchawy,|mickiewicz
Iliackie widzi bitwy, które w kształt zaklęła|wergiliusz
Nigdy we dwóch nie strzelać do jednej źwierzyny>>.|mickiewicz
Podziwia i gardziele, gdzie ognie zagasły.|wergiliusz
Boli krzywda Askania, drogiego tak syna,|wergiliusz
I słowa: <<Niech Pan wstaje, czas na polowanie,|mickiewicz
Gdy ich nie można zgodzić na obiór marszałka;|mickiewicz
Wszakże w Warszawskim Księstwie mamy sto tysięcy|mickiewicz
A z przyczyny Sędziego został głupcem takim.|mickiewicz
Gdy wiesza się przy dyszlu i pierś swą odsłoni,|wergiliusz
Zakuta w spiż przyzywa…|wergiliusz
A tymczasem Rejenta nadobna kochanka,|mickiewicz
Która się rodzi z drugiej córki Kasztelana,|mickiewicz
Skończyło się, że charty poszły na powrozy,|mickiewicz
Gerwazy chodził kroki wielkimi po sali;|mickiewicz
Jak czarna sadza z dymu wybucha kłębami.|wergiliusz
Wśród gromkich wrzasków rzeszy, co patrzy stłoczona,|wergiliusz
Dłoń ich pobić. — Na łące bliskiej ujrzą ciała|wergiliusz
<<Owszem, zawołał Klucznik, u mnie po staremu,|mickiewicz
Tymczasem paszczy wodnej ledwo się wybiega|wergiliusz
Ponad wszystkimi z butlą biegała szynkarka.|mickiewicz
Bram progi — żaden promyk nadziei nie płonie:|wergiliusz
prowincje całe za będące w stanie wojny i na mocy Żółtej Księgi|mickiewicz
Zauszniczki wyrznięte sztucznie z pestek wiszni,|mickiewicz
Myślałeś, że ujść zdołasz?» Gdy ów nie przestawał|wergiliusz
Rydwanem; ze łzą widzi namiotów rząd biały|wergiliusz
